PERCENTILE,EXERCISE_NAME,SEX,AGE_RANGE,WEIGHT_TO_BODY_WEIGHT
90,FLAT BENCH PRESS (BARBELL),MALE,20-29,1.48
80,FLAT BENCH PRESS (BARBELL),MALE,20-29,1.32
70,FLAT BENCH PRESS (BARBELL),MALE,20-29,1.22
60,FLAT BENCH PRESS (BARBELL),MALE,20-29,1.44
50,FLAT BENCH PRESS (BARBELL),MALE,20-29,1.06
40,FLAT BENCH PRESS (BARBELL),MALE,20-29,0.99
30,FLAT BENCH PRESS (BARBELL),MALE,20-29,0.93
20,FLAT BENCH PRESS (BARBELL),MALE,20-29,0.88
10,FLAT BENCH PRESS (BARBELL),MALE,20-29,0.8
90,FLAT BENCH PRESS (BARBELL),MALE,30-39,1.24
80,FLAT BENCH PRESS (BARBELL),MALE,30-39,1.12
70,FLAT BENCH PRESS (BARBELL),MALE,30-39,1.04
60,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.98
50,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.93
40,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.88
30,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.83
20,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.78
10,FLAT BENCH PRESS (BARBELL),MALE,30-39,0.71
90,FLAT BENCH PRESS (BARBELL),MALE,40-49,1.1
80,FLAT BENCH PRESS (BARBELL),MALE,40-49,1
70,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.93
60,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.88
50,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.84
40,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.8
30,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.76
20,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.72
10,FLAT BENCH PRESS (BARBELL),MALE,40-49,0.65
90,LEG PRESS (MACHINE),MALE,20-29,2.27
80,LEG PRESS (MACHINE),MALE,20-29,2.13
70,LEG PRESS (MACHINE),MALE,20-29,2.05
60,LEG PRESS (MACHINE),MALE,20-29,1.97
50,LEG PRESS (MACHINE),MALE,20-29,1.91
40,LEG PRESS (MACHINE),MALE,20-29,1.83
30,LEG PRESS (MACHINE),MALE,20-29,1.74
20,LEG PRESS (MACHINE),MALE,20-29,1.63
10,LEG PRESS (MACHINE),MALE,20-29,1.51
90,LEG PRESS (MACHINE),MALE,30-39,2.07
80,LEG PRESS (MACHINE),MALE,30-39,1.93
70,LEG PRESS (MACHINE),MALE,30-39,1.85
60,LEG PRESS (MACHINE),MALE,30-39,1.77
50,LEG PRESS (MACHINE),MALE,30-39,1.71
40,LEG PRESS (MACHINE),MALE,30-39,1.65
30,LEG PRESS (MACHINE),MALE,30-39,1.59
20,LEG PRESS (MACHINE),MALE,30-39,1.52
10,LEG PRESS (MACHINE),MALE,30-39,1.43
90,LEG PRESS (MACHINE),MALE,40-49,1.92
80,LEG PRESS (MACHINE),MALE,40-49,1.82
70,LEG PRESS (MACHINE),MALE,40-49,1.74
60,LEG PRESS (MACHINE),MALE,40-49,1.68
50,LEG PRESS (MACHINE),MALE,40-49,1.62
40,LEG PRESS (MACHINE),MALE,40-49,1.57
30,LEG PRESS (MACHINE),MALE,40-49,1.51
20,LEG PRESS (MACHINE),MALE,40-49,1.44
10,LEG PRESS (MACHINE),MALE,40-49,1.35
