exercise_name,generic_muscle_group,main_muscle,secondary_muscle
LAT PULL DOWN WIDE,BACK,LATS,
FLAT PRESS (MACHINE),CHEST,PECS,
PULL DOWN NARROW UNDERHAND,BACK,LATS,
INCLINE PRESS (MACHINE),CHEST,PECS,
REVERSE FLY,BACK,RHOMBOIDS,
FLY,CHEST,PECS,
SQUAT (KETTLEBELL),LEGS,QUADRICEPS,
DEADLIFT,LEGS,HAMSTRINGS,
STANDING DUMBBELL PRESS,SHOULDERS,DELTS,
BICEP CURLS,ARMS,BICEPS,
SEATED FRENCH PRESS,ARMS,TRICEPS,
SEATED DUMBBELL PRESS,SHOULDERS,DELTS,
KETTLEBELL,LEGS,HAMSTRINGS,
KETTLEBELL SWING,LEGS,HAMSTRINGS,
DUMBBELL THRUSTERS,FULL BODY,DELTS,QUADRICEPS
KETTLEBELL HIGH PULL,FULL BODY,TRAPS,HAMSTRINGS
BACK SQUAT,LEGS,QUADRICEPS,
LEG EXTENSION,LEGS,QUADRICEPS,
SEATED LEG CURL,LEGS,HAMSTRINGS,
