date,weight
2021-11-24,212.6
2021-11-25,212
2021-11-26,212.8
2021-11-27,212.4
2021-11-28,212.4
2021-11-29,213.2
2021-12-01,214
2021-12-02,213.4
2021-12-03,213
2021-12-04,213.6
2021-12-05,213.2
2021-12-06,212
2021-12-07,212.8
2021-12-08,213
2021-12-09,213
2021-12-10,212.6
2021-12-15,214.4
2021-12-18,216
2021-12-19,213.2
2021-12-20,212.6
2021-12-21,214.6
2021-12-23,213.8
2021-12-29,211.8
2021-12-30,213.2
2022-01-01,213.4
2022-01-03,213.8
2022-01-04,212.4
2022-01-08,213.4
2022-01-09,213
2022-01-12,212.2
2022-01-13,212.4
2022-01-15,213.8
2022-01-16,214.6
2022-01-17,214
2022-01-18,213.6
2022-01-20,212.6
2022-01-21,212.6
2022-01-22,213.8
2022-01-24,214.8
2022-01-25,212.8
2022-01-26,212.6
2022-01-27,212
2022-01-28,211.4
2022-01-29,211.6
2022-01-30,212.2
2022-01-31,213.6
2022-02-01,212.6
2022-02-02,212
2022-02-03,211.6
2022-02-04,211.8
2022-02-05,211
2022-02-06,211.2
