workout_date,work_titles,exercise_number,exercise_name,set,weight,reps,volume
2021-09-18,ARMS,,STANDING DUMBBELL PRESS,1,40,12,480
2021-09-18,ARMS,,STANDING DUMBBELL PRESS,2,60,10,600
2021-09-18,ARMS,,STANDING DUMBBELL PRESS,3,60,8,480
2021-09-18,ARMS,,STANDING DUMBBELL PRESS,4,60,8,480
2021-09-18,ARMS,,STANDING DUMBBELL PRESS,5,60,8,480
2021-09-18,ARMS,,BICEP CURLS,1,40,14,560
2021-09-18,ARMS,,BICEP CURLS,2,40,12,480
2021-09-18,ARMS,,BICEP CURLS,3,40,12,480
2021-09-18,ARMS,,BICEP CURLS,4,40,10,400
2021-09-18,ARMS,,BICEP CURLS,5,0,0,0
2021-09-18,ARMS,,SEATED FRENCH PRESS,1,30,12,360
2021-09-18,ARMS,,SEATED FRENCH PRESS,2,35,10,350
2021-09-18,ARMS,,SEATED FRENCH PRESS,3,35,8,280
2021-09-18,ARMS,,SEATED FRENCH PRESS,4,35,8,280
2021-09-18,ARMS,,SEATED FRENCH PRESS,5,0,0,0
2021-09-27,ARMS,,SEATED DUMBBELL PRESS,1,70,8,560
2021-09-27,ARMS,,SEATED DUMBBELL PRESS,2,70,8,560
2021-09-27,ARMS,,SEATED DUMBBELL PRESS,3,70,7,490
2021-09-27,ARMS,,SEATED DUMBBELL PRESS,4,70,6,420
2021-09-27,ARMS,,SEATED DUMBBELL PRESS,5,70,6,420
2021-09-27,ARMS,,STANDING DUMBBELL PRESS,1,40,10,400
2021-09-27,ARMS,,STANDING DUMBBELL PRESS,2,40,10,400
2021-09-27,ARMS,,STANDING DUMBBELL PRESS,3,40,9,360
2021-09-27,ARMS,,STANDING DUMBBELL PRESS,4,40,8,320
2021-09-27,ARMS,,STANDING DUMBBELL PRESS,5,40,10,400
2021-09-27,ARMS,,BICEP CURLS,1,40,12,480
2021-09-27,ARMS,,BICEP CURLS,2,40,12,480
2021-09-27,ARMS,,BICEP CURLS,3,40,12,480
2021-09-27,ARMS,,BICEP CURLS,4,40,12,480
2021-09-27,ARMS,,BICEP CURLS,5,0,0,0
2021-09-27,ARMS,,SEATED FRENCH PRESS,1,35,12,420
2021-09-27,ARMS,,SEATED FRENCH PRESS,2,35,12,420
2021-09-27,ARMS,,SEATED FRENCH PRESS,3,35,12,420
2021-09-27,ARMS,,SEATED FRENCH PRESS,4,35,11,385
2021-09-27,ARMS,,SEATED FRENCH PRESS,5,0,0,0
2021-09-14,CHEST_AND_BACK,,LAT PULL DOWN WIDE,1,75,15,1125
2021-09-14,CHEST_AND_BACK,,LAT PULL DOWN WIDE,2,85,10,850
2021-09-14,CHEST_AND_BACK,,LAT PULL DOWN WIDE,3,95,9,855
2021-09-14,CHEST_AND_BACK,,LAT PULL DOWN WIDE,4,95,10,950
2021-09-14,CHEST_AND_BACK,,LAT PULL DOWN WIDE,5,0,0,0
2021-09-14,CHEST_AND_BACK,,FLAT PRESS (MACHINE),1,65,12,780
2021-09-14,CHEST_AND_BACK,,FLAT PRESS (MACHINE),2,75,10,750
2021-09-14,CHEST_AND_BACK,,FLAT PRESS (MACHINE),3,75,10,750
2021-09-14,CHEST_AND_BACK,,FLAT PRESS (MACHINE),4,75,10,750
2021-09-14,CHEST_AND_BACK,,FLAT PRESS (MACHINE),5,0,0,0
2021-09-14,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,1,75,10,750
2021-09-14,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,2,75,10,750
2021-09-14,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,3,75,10,750
2021-09-14,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,4,85,10,850
2021-09-14,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,5,0,0,0
2021-09-14,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),1,55,10,550
2021-09-14,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),2,55,10,550
2021-09-14,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),3,65,8,520
2021-09-14,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),4,65,10,650
2021-09-14,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),5,0,0,0
2021-09-14,CHEST_AND_BACK,,REVERSE FLY,1,75,10,750
2021-09-14,CHEST_AND_BACK,,REVERSE FLY,2,75,12,900
2021-09-14,CHEST_AND_BACK,,REVERSE FLY,3,85,12,1020
2021-09-14,CHEST_AND_BACK,,REVERSE FLY,4,0,0,0
2021-09-14,CHEST_AND_BACK,,REVERSE FLY,5,0,0,0
2021-09-14,CHEST_AND_BACK,,FLY,1,75,10,750
2021-09-14,CHEST_AND_BACK,,FLY,2,75,10,750
2021-09-14,CHEST_AND_BACK,,FLY,3,75,8,600
2021-09-14,CHEST_AND_BACK,,FLY,4,0,0,0
2021-09-14,CHEST_AND_BACK,,FLY,5,0,0,0
2021-09-22,CHEST_AND_BACK,,LAT PULL DOWN WIDE,1,85,12,1020
2021-09-22,CHEST_AND_BACK,,LAT PULL DOWN WIDE,2,95,10,950
2021-09-22,CHEST_AND_BACK,,LAT PULL DOWN WIDE,3,95,10,950
2021-09-22,CHEST_AND_BACK,,LAT PULL DOWN WIDE,4,95,10,950
2021-09-22,CHEST_AND_BACK,,LAT PULL DOWN WIDE,5,95,8,760
2021-09-22,CHEST_AND_BACK,,FLAT PRESS (MACHINE),1,65,12,780
2021-09-22,CHEST_AND_BACK,,FLAT PRESS (MACHINE),2,75,10,750
2021-09-22,CHEST_AND_BACK,,FLAT PRESS (MACHINE),3,75,11,825
2021-09-22,CHEST_AND_BACK,,FLAT PRESS (MACHINE),4,75,12,900
2021-09-22,CHEST_AND_BACK,,FLAT PRESS (MACHINE),5,85,7,595
2021-09-22,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,1,75,12,900
2021-09-22,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,2,85,10,850
2021-09-22,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,3,85,10,850
2021-09-22,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,4,85,10,850
2021-09-22,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,5,0,0,0
2021-09-22,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),1,55,12,660
2021-09-22,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),2,65,10,650
2021-09-22,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),3,65,9,585
2021-09-22,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),4,65,10,650
2021-09-22,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),5,0,0,0
2021-09-22,CHEST_AND_BACK,,REVERSE FLY,1,75,12,900
2021-09-22,CHEST_AND_BACK,,REVERSE FLY,2,85,12,1020
2021-09-22,CHEST_AND_BACK,,REVERSE FLY,3,95,12,1140
2021-09-22,CHEST_AND_BACK,,REVERSE FLY,4,0,0,0
2021-09-22,CHEST_AND_BACK,,REVERSE FLY,5,0,0,0
2021-09-22,CHEST_AND_BACK,,FLY,1,75,10,750
2021-09-22,CHEST_AND_BACK,,FLY,2,75,9,675
2021-09-22,CHEST_AND_BACK,,FLY,3,75,8,600
2021-09-22,CHEST_AND_BACK,,FLY,4,0,0,0
2021-09-22,CHEST_AND_BACK,,FLY,5,0,0,0
2021-09-15,LEGS,,SQUAT (KETTLEBELL),1,44,10,440
2021-09-15,LEGS,,SQUAT (KETTLEBELL),2,53,10,530
2021-09-15,LEGS,,SQUAT (KETTLEBELL),3,53,10,530
2021-09-15,LEGS,,SQUAT (KETTLEBELL),4,53,10,530
2021-09-15,LEGS,,SQUAT (KETTLEBELL),5,53,10,530
2021-09-15,LEGS,,DEADLIFT,1,44,12,528
2021-09-15,LEGS,,DEADLIFT,2,53,12,636
2021-09-15,LEGS,,DEADLIFT,3,62,12,744
2021-09-15,LEGS,,DEADLIFT,4,62,12,744
2021-09-15,LEGS,,DEADLIFT,5,62,12,744
2021-09-24,LEGS,,SQUAT (KETTLEBELL),1,53,12,636
2021-09-24,LEGS,,SQUAT (KETTLEBELL),2,53,12,636
2021-09-24,LEGS,,SQUAT (KETTLEBELL),3,53,12,636
2021-09-24,LEGS,,SQUAT (KETTLEBELL),4,62,12,744
2021-09-24,LEGS,,SQUAT (KETTLEBELL),5,62,12,744
2021-09-24,LEGS,,DEADLIFT,1,53,12,636
2021-09-24,LEGS,,DEADLIFT,2,62,12,744
2021-09-24,LEGS,,DEADLIFT,3,62,12,744
2021-09-24,LEGS,,DEADLIFT,4,70,12,840
2021-09-24,LEGS,,DEADLIFT,5,70,12,840
2021-09-24,LEGS,,KETTLEBELL SWING,1,53,25,1325
2021-09-24,LEGS,,KETTLEBELL SWING,2,53,25,1325
2021-09-24,LEGS,,KETTLEBELL SWING,3,53,25,1325
2021-09-24,LEGS,,KETTLEBELL SWING,4,0,0,0
2021-09-24,LEGS,,KETTLEBELL SWING,5,0,0,0
2021-10-29,ARMS,,SEATED DUMBBELL PRESS,1,70,8,560
2021-10-29,ARMS,,SEATED DUMBBELL PRESS,2,70,8,560
2021-10-29,ARMS,,SEATED DUMBBELL PRESS,3,70,7,490
2021-10-29,ARMS,,SEATED DUMBBELL PRESS,4,70,8,560
2021-10-29,ARMS,,SEATED DUMBBELL PRESS,5,70,7,490
2021-10-29,ARMS,,STANDING DUMBBELL PRESS,1,40,11,440
2021-10-29,ARMS,,STANDING DUMBBELL PRESS,2,40,10,400
2021-10-29,ARMS,,STANDING DUMBBELL PRESS,3,40,10,400
2021-10-29,ARMS,,STANDING DUMBBELL PRESS,4,40,10,400
2021-10-29,ARMS,,STANDING DUMBBELL PRESS,5,40,10,400
2021-10-29,ARMS,,BICEP CURLS,1,40,12,480
2021-10-29,ARMS,,BICEP CURLS,2,40,12,480
2021-10-29,ARMS,,BICEP CURLS,3,40,12,480
2021-10-29,ARMS,,BICEP CURLS,4,40,13,520
2021-10-29,ARMS,,BICEP CURLS,5,0,0,0
2021-10-29,ARMS,,SEATED FRENCH PRESS,1,35,12,420
2021-10-29,ARMS,,SEATED FRENCH PRESS,2,35,12,420
2021-10-29,ARMS,,SEATED FRENCH PRESS,3,35,12,420
2021-10-29,ARMS,,SEATED FRENCH PRESS,4,35,12,420
2021-10-29,ARMS,,SEATED FRENCH PRESS,5,0,0,0
2021-10-25,CHEST_AND_BACK,,LAT PULL DOWN WIDE,1,85,12,1020
2021-10-25,CHEST_AND_BACK,,LAT PULL DOWN WIDE,2,95,12,1140
2021-10-25,CHEST_AND_BACK,,LAT PULL DOWN WIDE,3,95,10,950
2021-10-25,CHEST_AND_BACK,,LAT PULL DOWN WIDE,4,95,10,950
2021-10-25,CHEST_AND_BACK,,LAT PULL DOWN WIDE,5,95,8,760
2021-10-25,CHEST_AND_BACK,,FLAT PRESS (MACHINE),1,65,12,780
2021-10-25,CHEST_AND_BACK,,FLAT PRESS (MACHINE),2,75,12,900
2021-10-25,CHEST_AND_BACK,,FLAT PRESS (MACHINE),3,75,12,900
2021-10-25,CHEST_AND_BACK,,FLAT PRESS (MACHINE),4,75,10,750
2021-10-25,CHEST_AND_BACK,,FLAT PRESS (MACHINE),5,75,9,675
2021-10-25,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,1,75,10,750
2021-10-25,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,2,75,10,750
2021-10-25,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,3,75,10,750
2021-10-25,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,4,75,11,825
2021-10-25,CHEST_AND_BACK,,PULL DOWN NARROW UNDERHAND,5,0,0,0
2021-10-25,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),1,55,11,605
2021-10-25,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),2,55,10,550
2021-10-25,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),3,55,11,605
2021-10-25,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),4,55,11,605
2021-10-25,CHEST_AND_BACK,,INCLINE PRESS (MACHINE),5,0,0,0
2021-10-25,CHEST_AND_BACK,,REVERSE FLY,1,75,12,900
2021-10-25,CHEST_AND_BACK,,REVERSE FLY,2,85,12,1020
2021-10-25,CHEST_AND_BACK,,REVERSE FLY,3,95,12,1140
2021-10-25,CHEST_AND_BACK,,REVERSE FLY,4,0,0,0
2021-10-25,CHEST_AND_BACK,,REVERSE FLY,5,0,0,0
2021-10-25,CHEST_AND_BACK,,FLY,1,65,12,780
2021-10-25,CHEST_AND_BACK,,FLY,2,65,11,715
2021-10-25,CHEST_AND_BACK,,FLY,3,65,10,650
2021-10-25,CHEST_AND_BACK,,FLY,4,0,0,0
2021-10-25,CHEST_AND_BACK,,FLY,5,0,0,0
2021-10-18,LEGS,,SQUAT (KETTLEBELL),1,53,12,636
2021-10-18,LEGS,,SQUAT (KETTLEBELL),2,53,12,636
2021-10-18,LEGS,,SQUAT (KETTLEBELL),3,62,12,744
2021-10-18,LEGS,,SQUAT (KETTLEBELL),4,62,10,620
2021-10-18,LEGS,,SQUAT (KETTLEBELL),5,62,10,620
2021-10-18,LEGS,,DEADLIFT,1,62,12,744
2021-10-18,LEGS,,DEADLIFT,2,62,12,744
2021-10-18,LEGS,,DEADLIFT,3,62,12,744
2021-10-18,LEGS,,DEADLIFT,4,70,12,840
2021-10-18,LEGS,,DEADLIFT,5,70,12,840
2021-10-18,LEGS,,KETTLEBELL SWING,1,0,0,0
2021-10-18,LEGS,,KETTLEBELL SWING,2,0,0,0
2021-10-18,LEGS,,KETTLEBELL SWING,3,0,0,0
2021-10-18,LEGS,,KETTLEBELL SWING,4,0,0,0
2021-10-18,LEGS,,KETTLEBELL SWING,5,0,0,0
2021-10-26,WOD,,DUMBBELL THRUSTERS,1,40,20,800
2021-10-26,WOD,,DUMBBELL THRUSTERS,2,40,20,800
2021-10-26,WOD,,DUMBBELL THRUSTERS,3,40,20,800
2021-10-26,WOD,,DUMBBELL THRUSTERS,4,0,0,0
2021-10-26,WOD,,DUMBBELL THRUSTERS,5,0,0,0
2021-10-26,WOD,,KETTLEBELL HIGH PULL,1,30,25,750
2021-10-26,WOD,,KETTLEBELL HIGH PULL,2,30,25,750
