workout_date,work_titles,exercise_number,exercise_name,set,weight,reps,volume
2017-09-18,LEGS,1,BACK SQUAT (BARBELL),1,160,5,
2017-09-18,LEGS,1,BACK SQUAT (BARBELL),2,190,5,
2017-09-18,LEGS,1,BACK SQUAT (BARBELL),3,215,5,
2017-09-18,LEGS,1,BACK SQUAT (BARBELL),4,160,20,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),1,95,10,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),2,95,10,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),3,95,10,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),4,95,10,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),5,95,10,
2017-09-18,LEGS,2,FRONT SQUAT (BARBELL),6,105,10,
2017-09-18,LEGS,3,SEATED CALF RAISE (MACHINE),1,90,12,
2017-09-18,LEGS,3,SEATED CALF RAISE (MACHINE),2,90,12,
2017-09-18,LEGS,3,SEATED CALF RAISE (MACHINE),3,90,10,
2017-09-18,LEGS,3,SEATED CALF RAISE (MACHINE),4,90,11,
2017-09-18,LEGS,3,SEATED CALF RAISE (MACHINE),5,90,10,
2020-01-31,CHEST_AND_BACK,1.1,FLAT BENCH PRESS (BARBELL),1,135,6,
2020-01-31,CHEST_AND_BACK,1.1,FLAT BENCH PRESS (BARBELL),2,135,6,
2020-01-31,CHEST_AND_BACK,1.1,FLAT BENCH PRESS (BARBELL),3,135,7,
2020-01-31,CHEST_AND_BACK,1.1,FLAT BENCH PRESS (BARBELL),4,135,7,
2020-01-31,CHEST_AND_BACK,1.1,FLAT BENCH PRESS (BARBELL),5,135,6,
2020-01-31,CHEST_AND_BACK,1.2,BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),1,90,10,
2020-01-31,CHEST_AND_BACK,1.2,BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),2,90,8,
2020-01-31,CHEST_AND_BACK,1.2,BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),3,90,7,
2020-01-31,CHEST_AND_BACK,1.2,BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),4,90,8,
2020-01-31,CHEST_AND_BACK,1.2,BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),5,90,7,
2020-01-31,CHEST_AND_BACK,2.1,INCLINE BENCH PRESS (DUMBBELL),1,80,10,
2020-01-31,CHEST_AND_BACK,2.1,INCLINE BENCH PRESS (DUMBBELL),2,80,10,
2020-01-31,CHEST_AND_BACK,2.1,INCLINE BENCH PRESS (DUMBBELL),3,80,9,
2020-01-31,CHEST_AND_BACK,2.2,INCLINE BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),1,80,10,
2020-01-31,CHEST_AND_BACK,2.2,INCLINE BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),2,80,9,
2020-01-31,CHEST_AND_BACK,2.2,INCLINE BENT OVER BENCH ROW - SINGLE ARM (DUMBBELL),3,80,9,
2020-09-14,SHOULDERS,1,STANDING SHOULDER PRESS (BARBELL),1,80,5,
2020-09-14,SHOULDERS,1,STANDING SHOULDER PRESS (BARBELL),2,90,5,
